p	mmu	loadmar	POA	x	x	x	x
s	regsp	output	POA	x	x	x	x
p	rega	load	POA	x	x	x	x
s	mmu	output	POA	x	x	x	x
s	regsp	inc	POA	x	x	x	x
p	regs	output	POA	x	x	x	x
s	mmu	loadcs	POA	x	x	x	x
s	regi	reset	POA	x	x	x	x
s	pc	count	POA	x	x	x	x
p	regsp	dec	PSB	x	x	x	x
p	regs	load	PSB	x	x	x	x
s	mmu	outputcs	PSB	x	x	x	x
p	mmu	select0stack	PSB	x	x	x	x
s	mmu	loadmar	PSB	x	x	x	x
s	regsp	output	PSB	x	x	x	x
p	regb	output	PSB	x	x	x	x
s	mmu	load	PSB	x	x	x	x
p	regs	output	PSB	x	x	x	x
s	mmu	loadcs	PSB	x	x	x	x
p	regi	reset	PSB	x	x	x	x
s	pc	count	PSB	x	x	x	x
p	regs	load	POB	x	x	x	x
s	mmu	outputcs	POB	x	x	x	x
p	mmu	select0stack	POB	x	x	x	x
p	mmu	loadmar	POB	x	x	x	x
s	regsp	output	POB	x	x	x	x
p	regb	load	POB	x	x	x	x
s	mmu	output	POB	x	x	x	x
s	regsp	inc	POB	x	x	x	x
p	regs	output	POB	x	x	x	x
s	mmu	loadcs	POB	x	x	x	x
s	regi	reset	POB	x	x	x	x
s	pc	count	POB	x	x	x	x
p	regi	reset	NOP	x	x	x	x
s	pc	count	NOP	x	x	x	x
p	pc	count	LNA	x	x	x	x
p	pc	output	LNA	x	x	x	x
s	mem	loadmar	LNA	x	x	x	x
p	mem	output	LNA	x	x	x	x
s	rega	load	LNA	x	x	x	x
p	alu	add	LNA	x	x	x	x
s	mem	loadmar	LNA	x	x	x	x
p	mem	output	LNA	x	x	x	x
s	rega	load	LNA	x	x	x	x
s	regi	reset	LNA	x	x	x	x
s	pc	count	LNA	x	x	x	x
p	alu	cmp	CMP	x	x	x	x
s	regi	reset	CMP	x	x	x	x
s	pc	count	CMP	x	x	x	x
p	pc	count	JMP	x	x	x	x
p	pc	output	JMP	x	x	x	x
s	mem	loadmar	JMP	x	x	x	x
p	pc	load	JMP	x	x	x	x
s	mem	output	JMP	x	x	x	x
